Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
100000,59,77767,15618,804,24,No
100001,49,48054,41561,543,60,No
100002,35,95319,12373,773,48,No
100003,63,122789,40281,681,12,No
100004,28,65397,25187,402,36,No
100005,41,33233,7327,788,24,No
100006,59,131205,37391,336,12,Yes
100007,39,110020,46577,848,60,No
100008,43,45068,23549,819,24,No
100009,31,85727,44220,632,12,Yes
100010,31,110610,12642,696,48,Yes
100011,44,90453,19435,595,36,Yes
100012,56,124135,38760,406,60,Yes
100013,60,45832,43192,829,24,No
100014,44,128464,9381,382,48,No
100015,23,106242,36047,587,36,No
100016,42,33682,24558,760,36,Yes
100017,22,112298,35782,514,48,Yes
100018,44,43383,9782,580,24,No
100019,64,78160,30881,758,36,Yes
100020,50,113332,45228,643,60,Yes
100021,58,43666,34409,493,12,Yes
100022,22,78817,24462,457,60,Yes
100023,41,111198,7983,764,36,No
100024,53,130695,36933,403,12,Yes
100025,32,54642,7523,333,48,No
100026,42,61830,14677,401,12,No
100027,64,123067,15292,624,12,Yes
100028,45,30234,20089,440,12,No
100029,47,77616,9581,773,36,No
100030,62,29221,16907,330,24,No
100031,48,31410,10609,362,36,Yes
100032,36,100055,49143,386,24,Yes
100033,35,81413,27936,603,48,Yes
100034,64,21051,47725,360,48,Yes
100035,23,130529,38988,695,48,No
100036,57,95301,34506,633,48,No
100037,27,96918,18163,710,48,No
100038,41,98116,17537,583,60,No
100039,29,142226,27419,765,36,Yes
100040,59,76563,47578,379,24,Yes
100041,38,117859,14455,376,48,No
100042,24,64757,14063,839,60,No
100043,45,146169,5834,660,60,No
100044,34,141008,37214,376,60,No
100045,29,97475,32398,808,36,No
100046,46,71257,39492,463,48,Yes
100047,22,115500,7413,308,60,Yes
100048,40,20307,14505,474,60,No
100049,48,76889,42266,761,48,No
100050,27,88895,7105,606,36,No
100051,64,115184,7568,544,60,No
100052,28,55944,47098,421,24,Yes
100053,55,119555,42679,484,12,No
100054,34,58134,38560,331,12,Yes
100055,37,47323,19195,609,12,No
100056,56,136205,20762,671,36,No
100057,60,91762,46294,355,60,Yes
100058,24,107225,20898,572,12,No
100059,22,116507,26577,763,12,No
100060,26,45954,6214,755,48,No
100061,62,75021,25803,548,60,No
100062,24,109959,28698,377,60,Yes
100063,49,115927,37980,833,48,No
100064,38,99866,6658,407,60,No
100065,46,90427,17270,572,24,No
100066,64,24992,42792,314,36,Yes
100067,54,21961,27301,669,48,No
100068,30,32497,10141,603,12,Yes
100069,56,137551,43756,504,60,No
100070,34,52551,18777,412,24,Yes
100071,51,96384,43346,552,24,Yes
100072,35,145374,34441,740,36,No
100073,28,75755,33469,485,24,No
100074,34,33255,8845,526,60,No
