study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
17.5,88.9,Yes,57.7,Pass
14.3,100,Yes,68.7,Pass
18.2,54,No,38.1,Pass
22.6,83.4,No,45.6,Pass
13.8,65.2,Yes,89,Pass
13.8,67.7,No,51.9,Pass
22.9,66.1,Yes,44.1,Pass
18.8,62,Yes,75.7,Pass
12.7,75.7,No,88.7,Pass
17.7,62.5,No,79.4,Pass
12.7,79.1,No,84.9,Pass
12.7,74.2,No,49.9,Fail
16.2,71.4,Yes,36.6,Pass
5.4,61.4,No,95,Pass
6.4,66.3,Yes,58.5,Fail
12.2,86.3,No,60,Pass
9.9,82.5,Yes,91.6,Fail
16.6,60.3,No,76.1,Pass
10.5,76.5,Yes,74.1,Pass
7.9,86.3,No,100,Pass
22.3,50,Yes,52.1,Pass
13.9,83.2,No,83.6,Pass
15.3,65.1,Yes,66.1,Pass
7.9,83.6,Yes,70.4,Pass
12.3,63.6,Yes,95.6,Pass
15.6,47.9,Yes,75.2,Pass
9.2,50.6,No,75.8,Pass
16.9,75.7,Yes,86.5,Pass
12,78.9,No,57.7,Pass
13.5,61.4,Yes,48.2,Pass
12,84.6,Yes,44.1,Pass
24.3,50.1,No,25.7,Pass
14.9,74,No,100,Pass
9.7,56.8,Yes,42.9,Fail
19.1,65.2,Yes,60.6,Pass
8.9,75.7,No,59.5,Pass
16,62.1,Yes,71.1,Pass
5.2,69.2,No,81.3,Pass
8.4,90.1,No,82.2,Pass
16,66.3,No,53.3,Pass
18.7,87.5,Yes,61.7,Pass
15.9,58.1,No,70.7,Pass
14.4,82.9,Yes,60,Fail
13.5,96.6,Yes,97.1,Pass
7.6,37.9,Yes,74.8,Pass
11.4,63,Yes,79.7,Pass
12.7,83.7,No,78.3,Pass
20.3,72,No,88.5,Pass
16.7,80.6,No,68.6,Pass
6.2,65.9,Yes,39.1,Pass
16.6,76.3,Yes,73,Pass
13.1,72.7,Yes,52,Pass
11.6,92.5,No,54.4,Pass
18.1,78.8,Yes,76.7,Pass
20.2,80.1,No,89.8,Pass
19.7,68.8,Yes,65.4,Pass
10.8,67.7,Yes,71.2,Pass
13.5,68.5,No,99,Pass
16.7,80.9,Yes,69.8,Pass
19.9,68.7,No,100,Pass
12.6,79.3,No,76.3,Pass
14.1,100,Yes,29.8,Fail
9.5,88.1,Yes,80.1,Pass
9,70.1,Yes,72.6,Fail
19.1,93,No,90.8,Pass
21.8,68.9,Yes,78.5,Pass
14.6,44.4,No,62.2,Pass
20,59.9,No,40.5,Fail
16.8,46.9,No,60.8,Pass
11.8,69.7,Yes,48,Fail
16.8,75.3,No,53.4,Pass
22.7,100,No,76.8,Pass
14.8,79.9,Yes,98.4,Pass
22.8,71.7,Yes,72.9,Pass
1.9,87.4,No,41.1,Fail
19.1,41.8,Yes,73.9,Pass
15.4,78.5,No,88.9,Pass
13.5,86.6,Yes,52.8,Pass
15.5,52.8,Yes,62.3,Pass
5.1,92.2,No,65.3,Fail
13.9,80.1,Yes,49.3,Fail
16.8,68.8,Yes,78,Pass
22.4,84.5,Yes,62.6,Pass
12.4,100,Yes,73.4,Pass
11,77.7,Yes,47.3,Pass
12.5,78.7,Yes,56.3,Fail
19.6,68.1,No,79.4,Pass
16.6,62.3,Yes,57.5,Pass
12.4,87.5,No,99.5,Pass
17.6,62.2,Yes,57,Pass
15.5,76.1,No,69.5,Pass
19.8,67.8,Yes,83.7,Pass
11.5,82.2,No,36.6,Pass
13.4,80,Yes,29.8,Fail
13,90.6,Yes,34.5,Pass
7.7,67.3,Yes,90.3,Pass
16.5,71,Yes,54,Pass
16.3,60.3,Yes,100,Pass
15,68.3,Yes,53.7,Pass
13.8,80.7,No,68.7,Pass
7.9,86.4,Yes,95.8,Pass
12.9,61.2,Yes,100,Pass
13.3,88,No,100,Pass
11,95.3,No,89.2,Pass
14.2,81.2,Yes,85.5,Pass
17,100,Yes,76.9,Pass
24.4,63.4,Yes,80.6,Pass
15.9,56.3,No,54,Pass
16.3,48.3,No,48.6,Pass
14.6,97.4,Yes,64.9,Fail
5.4,84.8,No,61.6,Pass
14.9,74.2,No,55.9,Fail
15.3,79.2,Yes,78.9,Pass
27.3,58.1,No,84.1,Pass
14,100,Yes,66.8,Pass
16.5,76.9,Yes,94.6,Pass
14.8,76.6,Yes,42.2,Pass
9.2,85.9,Yes,61.1,Fail
20.7,82.2,Yes,50.7,Pass
18.8,78.4,No,27.7,Pass
19,63.1,Yes,63.3,Pass
10.5,82.1,Yes,62.6,Pass
22,100,Yes,95.3,Pass
8,95.2,No,77.6,Pass
17.9,98.9,Yes,44.5,Pass
26,67.3,Yes,100,Pass
10,60.2,Yes,89.4,Pass
12.2,73.1,Yes,76.6,Pass
15.5,75.8,No,60.5,Pass
12.5,91.4,No,45.8,Pass
7.2,49.6,Yes,57.6,Pass
15.3,97.9,No,86.8,Pass
9.7,72.6,No,100,Pass
17.4,68.6,No,95.9,Pass
10.4,59.8,Yes,55.2,Fail
22.7,50.2,Yes,42.6,Pass
11.1,87.3,Yes,67.8,Pass
13.4,76.1,No,29.6,Fail
19.1,55.7,Yes,71.5,Pass
8.8,55.6,Yes,62,Pass
16.1,70,Yes,55.7,Pass
21.5,100,No,33.1,Pass
7,71.1,Yes,75.3,Pass
15.9,52.5,No,54.3,Pass
16.3,71.3,No,41.6,Pass
18.9,70.9,Yes,7.6,Pass
8.8,34.5,No,64.4,Pass
8.4,74.2,Yes,100,Pass
17.6,71.5,No,98.2,Pass
16.5,85.4,Yes,55.9,Pass
16.3,100,No,53,Pass
16.7,91.9,No,74.4,Pass
11.6,71,No,45,Pass
16.2,58.4,No,71,Pass
16.5,100,Yes,80.3,Pass
11.4,75.9,No,89.5,Pass
24.3,75.2,No,63,Pass
17.4,74.6,Yes,60.9,Pass
9,78,Yes,47.4,Fail
18.3,72.8,No,48.5,Pass
10.1,66.4,No,60.5,Pass
18.9,66.8,No,72.3,Pass
20.8,74.5,Yes,83.3,Pass
10.9,66.8,No,48.9,Fail
19.8,64.3,Yes,94.9,Pass
17.1,76.6,No,59.6,Pass
19.1,71.2,Yes,64.6,Pass
24.5,97.6,No,50.1,Pass
13.8,35.2,No,16.5,Pass
11.2,91.4,Yes,82.7,Pass
10.6,93.7,No,79.7,Pass
10.9,43.9,Yes,59.4,Pass
14.6,69.9,No,66.3,Pass
16.7,69.4,No,75.3,Pass
16.4,53.9,Yes,33.7,Pass
19.1,63.3,No,54.4,Pass
15.1,58.3,No,80.9,Pass
22.3,100,Yes,39.9,Pass
13.7,89,Yes,70.9,Pass
28.6,94.1,No,37.9,Pass
18.1,85.8,No,74.3,Pass
10.7,58.1,No,64.3,Pass
9.6,67.1,No,32.7,Pass
17.4,82.3,Yes,88.3,Pass
13.9,56.7,No,50.3,Pass
18.6,85.7,Yes,48.8,Pass
17.4,71.4,Yes,69,Pass
14.6,69.4,Yes,88,Pass
10.8,85.7,Yes,44.7,Pass
7.4,81.7,Yes,66.2,Pass
12.8,69.6,Yes,73.6,Pass
19.3,92.4,No,78.9,Pass
16.1,58.8,Yes,68.5,Pass
8.8,84.2,Yes,57.7,Pass
15.9,83.9,Yes,48.4,Pass
16.9,70.4,Yes,66.7,Pass
10.6,79.9,Yes,43.6,Pass
15.8,56.2,Yes,6.6,Pass
15.3,88.9,No,73.7,Pass
9.3,72.2,No,83.1,Pass
16.8,67.2,No,17.7,Fail
17.8,90.7,Yes,44.8,Pass
20.4,64.4,Yes,77.4,Pass
20.3,53.9,No,100,Pass
8.1,51.7,Yes,65.4,Pass
10.3,84.1,Yes,50.4,Fail
17.6,55.8,Yes,61.3,Pass
17.6,100,Yes,92.5,Pass
17.6,43.8,Yes,52.1,Pass
34.3,100,Yes,49,Pass
17.9,78.2,Yes,55.3,Pass
